day,dau
24-09-2020,1358
25-09-2020,2451
26-09-2020,2030
27-09-2020,2187
28-09-2020,2732
29-09-2020,2834
30-09-2020,2734
01-10-2020,2699
02-10-2020,2559
03-10-2020,2162
04-10-2020,2398
05-10-2020,2832
06-10-2020,2676
07-10-2020,2561
08-10-2020,2661
09-10-2020,2416
10-10-2020,2115
11-10-2020,2430
12-10-2020,2978
13-10-2020,2734
14-10-2020,2691
15-10-2020,3199
16-10-2020,3488
17-10-2020,2867
18-10-2020,3114
19-10-2020,3690
20-10-2020,3606
21-10-2020,3484
22-10-2020,3409
23-10-2020,3234
24-10-2020,2963
25-10-2020,3048
26-10-2020,3385
27-10-2020,3518
28-10-2020,3608
29-10-2020,3558
30-10-2020,3338
31-10-2020,2856
01-11-2020,3052
02-11-2020,3822
03-11-2020,3642
04-11-2020,3434
05-11-2020,3687
06-11-2020,3667
07-11-2020,3194
08-11-2020,3425
09-11-2020,3859
10-11-2020,3893
11-11-2020,4006
12-11-2020,3574
13-11-2020,3526
14-11-2020,3350
15-11-2020,3535
16-11-2020,3952
17-11-2020,4101
18-11-2020,4287
19-11-2020,3938
20-11-2020,3996
21-11-2020,3551
22-11-2020,3043
23-11-2020,2913
24-11-2020,2737
25-11-2020,2934
26-11-2020,2930
27-11-2020,2943
28-11-2020,2398
29-11-2020,2429
30-11-2020,2848
01-12-2020,2635
02-12-2020,2672
03-12-2020,2585
04-12-2020,2585
05-12-2020,2277
06-12-2020,1834
07-12-2020,2660
08-12-2020,2650
09-12-2020,2766
10-12-2020,2436
11-12-2020,2617
12-12-2020,2394
13-12-2020,2846
14-12-2020,2841
15-12-2020,3009
16-12-2020,2697
17-12-2020,2838
18-12-2020,2557
19-12-2020,2543
20-12-2020,2609
21-12-2020,3307
22-12-2020,3140
23-12-2020,2949
24-12-2020,2521
25-12-2020,2386
26-12-2020,2447
27-12-2020,2502
28-12-2020,2909
29-12-2020,2418
30-12-2020,2296
31-12-2020,1370
01-01-2021,1804
02-01-2021,2180
03-01-2021,2629
04-01-2021,2774
05-01-2021,2757
06-01-2021,2768
07-01-2021,2695
08-01-2021,3021
09-01-2021,2993
10-01-2021,2928
11-01-2021,3484
12-01-2021,3310
13-01-2021,3311
14-01-2021,3241
15-01-2021,3079
16-01-2021,2875
17-01-2021,3012
18-01-2021,3342
19-01-2021,3363
20-01-2021,3285
21-01-2021,3233
22-01-2021,3045
23-01-2021,2738
24-01-2021,2985
25-01-2021,3302
26-01-2021,3257
27-01-2021,3041
28-01-2021,3019
29-01-2021,2862
30-01-2021,2792
31-01-2021,2883
01-02-2021,3325
02-02-2021,3320
03-02-2021,3226
04-02-2021,3517
05-02-2021,3173
06-02-2021,2997
07-02-2021,3122
08-02-2021,3475
09-02-2021,3138
10-02-2021,3090
11-02-2021,3114
12-02-2021,2822
13-02-2021,2656
14-02-2021,2793
15-02-2021,3083
16-02-2021,3067
17-02-2021,3048
18-02-2021,2858
19-02-2021,2863
20-02-2021,2728
21-02-2021,2794
22-02-2021,2738
23-02-2021,2518
24-02-2021,2904
25-02-2021,2784
26-02-2021,2960
27-02-2021,2578
28-02-2021,2775
