cohort_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2020-09-21/2020-09-27,1,0.056,0.026,0.018,0.017,0.012,0.009,0.008,0.007,0.005,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.002,0.002,0.001
2020-09-28/2020-10-04,1,0.031,0.014,0.012,0.007,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,
2020-10-05/2020-10-11,1,0.028,0.011,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,,
2020-10-12/2020-10-18,1,0.027,0.011,0.009,0.006,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,,,
2020-10-19/2020-10-25,1,0.026,0.013,0.009,0.006,0.004,0.004,0.003,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.001,,,,
2020-10-26/2020-11-01,1,0.029,0.014,0.01,0.006,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.001,,,,,
2020-11-02/2020-11-08,1,0.031,0.012,0.007,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,,,,,,
2020-11-09/2020-11-15,1,0.032,0.011,0.006,0.005,0.004,0.004,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.001,,,,,,,
2020-11-16/2020-11-22,1,0.027,0.009,0.007,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,,,,,,,,
2020-11-23/2020-11-29,1,0.027,0.01,0.007,0.005,0.004,0.002,0.003,0.002,0.003,0.002,0.002,0.003,0.002,,,,,,,,,
2020-11-30/2020-12-06,1,0.026,0.011,0.007,0.004,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.002,,,,,,,,,,
2020-12-07/2020-12-13,1,0.029,0.012,0.006,0.006,0.006,0.005,0.004,0.004,0.003,0.002,0.003,,,,,,,,,,,
2020-12-14/2020-12-20,1,0.029,0.009,0.007,0.007,0.005,0.004,0.004,0.003,0.002,0.002,,,,,,,,,,,,
2020-12-21/2020-12-27,1,0.027,0.011,0.009,0.006,0.005,0.003,0.003,0.003,0.002,,,,,,,,,,,,,
2020-12-28/2021-01-03,1,0.032,0.014,0.009,0.007,0.007,0.004,0.003,0.003,,,,,,,,,,,,,,
2021-01-04/2021-01-10,1,0.034,0.013,0.01,0.007,0.005,0.004,0.004,,,,,,,,,,,,,,,
2021-01-11/2021-01-17,1,0.036,0.014,0.009,0.007,0.005,0.005,,,,,,,,,,,,,,,,
2021-01-18/2021-01-24,1,0.034,0.015,0.009,0.007,0.005,,,,,,,,,,,,,,,,,
2021-01-25/2021-01-31,1,0.033,0.014,0.008,0.006,,,,,,,,,,,,,,,,,,
2021-02-01/2021-02-07,1,0.025,0.011,0.007,,,,,,,,,,,,,,,,,,,
2021-02-08/2021-02-14,1,0.031,0.011,,,,,,,,,,,,,,,,,,,,
2021-02-15/2021-02-21,1,0.029,,,,,,,,,,,,,,,,,,,,,
2021-02-22/2021-02-28,1,,,,,,,,,,,,,,,,,,,,,,
